ФИО;Группа;Период;Должность;Площадка;КЦ_Другое_отсутсвие;Запланированное время;Ready;Больничный;Adherence
Тетерин Анфим Константинович;Группа 9;9/1/22;Младший специалист;Брянск;32;68;36;0;0,88
Калашников Родослав Михайлович;Группа 6;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;173;17;0;0,94
Рожков Герасим Игнатьевич;Группа 22;9/1/22;Специалист;Пенза;0;119;109;0;0,53
Гущин Владимир Платонович;Группа 4;9/1/22;Специалист;Вологда;0;169;89;0;0,91
Громов Роман Георгиевич;Группа 21;9/1/22;Младший специалист;Пенза;0;82;73,8;0;0,50
Мельников Паисий Аркадьевич;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;129;116,1;12,9;0,66
Молчанов Аркадий Ильич;Группа 30;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;44;139;95;0;0,99
Силин Тит Исаакович;Группа 25;9/1/22;Младший специалист;Кемерово;0;182;30;0;0,76
Крылов Александр Исаакович;Группа 33;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;67;49;0;0,56
Денисов Пантелеймон Исаакович;Группа 11;9/1/22;Специалист;Брянск;0;35;31,5;0;0,60
Силин Христофор Исаакович;Группа 3;9/1/22;Младший специалист;Вологда;31;145;51;63;0,58
Гурьев Никон Георгиевич;Группа 27;9/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;187;29;0;0,97
Максимов Демид Игнатьевич;Группа 11;9/1/22;Младший специалист;Брянск;0;110;99;0;0,85
Красильников Серафим Михайлович;Группа 24;9/1/22;Младший специалист;Кемерово;0;102;91,8;10,2;0,65
Кузнецов Панкратий Романович;Группа 20;9/1/22;Младший специалист;Пенза;48;177;75;54;0,66
Романов Евграф Станиславович;Группа 33;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;134;111;23;0,60
Герасимов Лукьян Владиславович;Группа 6;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;173;154;0;0,85
Селиверстов Ефрем Евгеньевич;Группа 15;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;57;168;111;0;0,99
Кудряшов Кирилл Ильич;Группа 32;9/1/22;Специалист;Чита;63;115;10;42;0,55
Копылов Сергей Евгеньевич;Группа 2;9/1/22;Специалист;Вологда;0;105;94,5;10,5;0,83
Калашников Акиндин Ефимович;Группа 9;9/1/22;Младший специалист;Брянск;0;65;58,5;0;0,61
Сазонов Аристарх Робертович;Группа 14;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;183;94;0;1,00
Гусев Климент Егорович;Группа 30;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;64;57,6;0;0,88
Устинов Никон Денисович;Группа 11;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;40;36;0;0,82
Соловьёв Григорий Бедросович;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;150;55;0;0,68
Кулаков Григорий Васильевич;Группа 1;9/1/22;Младший специалист;Вологда;0;44;39,6;0;0,97
Беляков Варлам Егорович;Группа 13;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;87;15;0;0,65
Мухин Ким Ефимович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;51;45,9;0;0,56
Щукин Родослав Николаевич;Группа 11;9/1/22;Специалист;Брянск;0;127;114,3;0;0,68
Туров Фрол Георгиевич;Группа 2;9/1/22;Специалист;Вологда;0;139;125,1;0;0,69
Матвеев Изот Романович;Группа 5;9/1/22;Младший специалист;Вологда;0;33;29,7;0;0,61
Русаков Евграф Григорьевич;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;146;27;0;0,87
Крылов Венедикт Витальевич;Группа 30;9/1/22;Младший специалист;Чита;0;60;42;0;0,55
Моисеев Лев Иваныч;Группа 2;9/1/22;Специалист;Вологда;0;147;120;0;1,00
Стрелков Галактион Кириллович;Группа 17;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;99;65;34;0,60
Горшков Никифор Тарасович;Группа 31;9/1/22;Специалист;Чита;35;89;54;0;0,51
Федосеев Логгин Игнатьевич;Группа 13;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;95;80;15;0,86
Лебедев Нестор Бедросович;Группа 37;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;41;36,9;0;0,66
Носов Олег Иванович;Группа 4;9/1/22;Специалист;Вологда;0;38;34,2;0;0,54
Куликов Феликс Алексеевич;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;56;50,4;0;0,51
Давыдов Ефим Антонович;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;57;187;69;61;0,50
Артемьев Сильвестр Федорович;Группа 7;9/1/22;Специалист;Брянск;0;62;55,8;0;0,98
Бирюков Ждан Анатольевич;Группа 2;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;152;63;0;0,66
